City,Locality,BHK,Area_sqft,Bathrooms,Total_Floors,Floor_Number,Parking_Spaces,Balcony,Property_Age,Furnishing,Property_Type,Distance_to_City_Center_km,Metro_Distance_km,Nearby_Schools,Nearby_Hospitals,Amenities_Score,Security_Score,Maintenance_Cost,Price_INR
Hyderabad,Kukatpally,2,1254,1.0,10,4,1.0,3.0,24,Unfurnished,Apartment,4.6,4.8,6.0,6,10.0,2,3292,9017000
Pune,Hinjewadi,4,2396,4.0,15,14,1.0,1.0,2,Semi-Furnished,Apartment,3.5,9.1,2.0,5,7.0,10,11233,20788000
Hyderabad,Miyapur,2,977,2.0,3,1,2.0,2.0,37,Semi-Furnished,Villa,2.9,3.8,3.0,7,5.0,5,3055,5911000
Chennai,Velachery,2,1369,2.0,3,1,2.0,1.0,40,Unfurnished,Apartment,3.3,14.8,10.0,4,9.0,5,8155,9304000
Kolkata,New Town,2,1391,2.0,10,10,1.0,2.0,27,Semi-Furnished,Independent House,0.5,2.6,2.0,3,4.0,4,6775,7896000
Chennai,Porur,3,1627,4.0,5,5,1.0,1.0,19,Semi-Furnished,Apartment,8.0,1.2,2.0,1,1.0,8,6695,12646000
Pune,Wakad,3,1831,4.0,12,7,1.0,1.0,13,Fully-Furnished,Independent House,7.0,0.6,0.0,5,3.0,2,9497,16642000
Mumbai,Powai,2,1599,1.0,12,11,2.0,1.0,23,Semi-Furnished,Apartment,15.7,2.3,7.0,0,7.0,1,3209,24503000
Visakhapatnam,Seethammadhara,3,1509,3.0,4,2,3.0,1.0,39,Semi-Furnished,Apartment,8.2,1.6,2.0,7,4.0,10,3118,7171000
Kolkata,Rajarhat,1,1193,1.0,3,2,2.0,2.0,38,Fully-Furnished,Apartment,1.4,6.5,9.0,4,4.0,4,5085,7490000
Bengaluru,Koramangala,2,1618,2.0,10,3,1.0,0.0,0,Fully-Furnished,Apartment,6.8,3.0,4.0,2,6.0,1,8219,15999000
Vijayawada,Poranki,3,1794,4.0,6,6,2.0,1.0,6,Fully-Furnished,Apartment,2.6,6.1,8.0,7,3.0,5,8521,11873000
Delhi,Pitampura,4,2529,5.0,8,4,2.0,1.0,40,Semi-Furnished,Apartment,6.4,0.9,4.0,3,2.0,2,9282,22176000
Hyderabad,Miyapur,1,903,1.0,4,4,2.0,3.0,21,Semi-Furnished,Apartment,8.8,3.9,0.0,0,7.0,10,4562,6121000
Kolkata,Rajarhat,3,1769,2.0,15,9,0.0,3.0,18,Semi-Furnished,Apartment,5.2,4.1,8.0,2,10.0,3,9031,10869000
Ahmedabad,Satellite,2,1550,2.0,3,2,2.0,2.0,15,Unfurnished,Apartment,7.2,2.7,1.0,6,6.0,6,4815,9980000
Hyderabad,Madhapur,1,1286,2.0,6,5,1.0,2.0,22,Semi-Furnished,Independent House,13.7,1.3,0.0,3,4.0,10,3957,8235000
Chennai,OMR,4,2589,5.0,8,1,2.0,2.0,4,Semi-Furnished,Independent House,4.7,5.1,3.0,1,2.0,2,11492,20490000
Vijayawada,Gunadala,4,2050,4.0,5,4,1.0,2.0,16,Fully-Furnished,Apartment,13.7,2.0,2.0,4,6.0,4,11946,11942000
Bengaluru,Electronic City,2,1435,3.0,4,4,1.0,2.0,31,Fully-Furnished,Apartment,7.8,1.9,4.0,2,4.0,3,7478,13299000
Hyderabad,Kukatpally,3,1635,4.0,4,2,1.0,1.0,27,Semi-Furnished,Apartment,1.9,2.3,5.0,4,4.0,7,3533,12778000
Vijayawada,Gunadala,2,1419,2.0,3,2,1.0,1.0,31,Semi-Furnished,Apartment,13.6,6.5,10.0,0,9.0,7,6412,9258000
Delhi,Rohini,3,1681,4.0,3,3,2.0,2.0,15,Semi-Furnished,Apartment,9.3,1.0,5.0,6,2.0,7,8894,16135000
Ahmedabad,Vastrapur,4,2041,4.0,15,5,1.0,2.0,6,Semi-Furnished,Apartment,6.9,7.0,2.0,6,1.0,2,8544,14485000
Delhi,Rohini,5,2446,4.0,10,1,3.0,3.0,14,Semi-Furnished,Independent House,1.3,3.5,6.0,5,1.0,9,10836,25776000
Kolkata,New Town,3,1526,3.0,12,11,2.0,2.0,1,Semi-Furnished,Villa,5.1,0.7,1.0,5,5.0,8,4713,10616000
Pune,Hadapsar,1,742,1.0,5,1,0.0,2.0,31,Unfurnished,Independent House,7.2,2.2,2.0,3,5.0,1,3221,5314000
Bengaluru,Yelahanka,3,1736,4.0,5,5,1.0,1.0,29,Unfurnished,Apartment,10.8,0.4,2.0,6,1.0,1,9478,16037000
Chennai,Porur,2,1320,1.0,4,2,1.0,1.0,25,Semi-Furnished,Apartment,7.9,2.1,7.0,2,7.0,2,7056,9759000
Bengaluru,Indiranagar,2,1522,3.0,8,6,2.0,1.0,39,Fully-Furnished,Apartment,3.4,0.8,7.0,6,9.0,3,7154,16315000
Pune,Baner,3,1702,3.0,8,6,0.0,1.0,40,Semi-Furnished,Apartment,12.3,3.7,6.0,4,2.0,2,4452,13141000
Kolkata,Dum Dum,1,1326,1.0,15,11,2.0,1.0,19,Semi-Furnished,Apartment,1.0,5.0,0.0,5,6.0,9,3947,9219000
Delhi,Pitampura,2,1400,3.0,10,4,0.0,2.0,1,Fully-Furnished,Apartment,1.9,2.0,8.0,2,7.0,3,6794,16041000
Vijayawada,Benz Circle,3,2081,4.0,2,1,1.0,2.0,7,Semi-Furnished,Apartment,11.7,2.2,7.0,5,3.0,1,9198,11919000
Pune,Wakad,2,1022,2.0,5,1,1.0,1.0,26,Semi-Furnished,Villa,8.1,2.0,9.0,1,2.0,7,5067,6892000
Vijayawada,Patamata,4,2267,4.0,15,7,1.0,1.0,39,Fully-Furnished,Independent House,1.1,0.5,9.0,4,5.0,1,5141,14063000
Pune,Hinjewadi,2,1195,1.0,12,9,0.0,2.0,22,Semi-Furnished,Independent House,3.4,0.5,7.0,2,5.0,3,2405,10248000
Chennai,Porur,3,1908,2.0,12,3,1.0,2.0,17,Semi-Furnished,Villa,6.1,2.7,7.0,7,1.0,9,8578,16216000
Kolkata,Dum Dum,5,2710,6.0,4,3,2.0,1.0,10,Semi-Furnished,Independent House,9.5,5.4,7.0,4,8.0,7,12610,18510000
Kolkata,Dum Dum,4,2508,5.0,10,5,0.0,3.0,22,Unfurnished,Apartment,5.6,2.6,0.0,1,6.0,8,5447,15388000
Chennai,Porur,3,1846,4.0,4,1,1.0,1.0,26,Unfurnished,Apartment,14.6,1.9,7.0,0,4.0,7,5539,13308000
Ahmedabad,Maninagar,3,1765,3.0,10,4,2.0,1.0,23,Fully-Furnished,Apartment,2.0,6.0,8.0,3,3.0,4,10129,12478000
Chennai,Anna Nagar,4,2402,5.0,12,7,2.0,0.0,35,Unfurnished,Apartment,3.4,2.0,0.0,0,1.0,3,7387,17372000
Vijayawada,Governorpet,1,962,1.0,5,3,2.0,1.0,33,Semi-Furnished,Apartment,3.8,2.5,1.0,7,8.0,10,4812,4689000
Delhi,Saket,2,1146,1.0,2,2,1.0,2.0,14,Unfurnished,Apartment,6.2,2.2,,4,5.0,7,4843,10241000
Ahmedabad,Maninagar,3,1847,3.0,15,11,2.0,2.0,24,Semi-Furnished,Independent House,15.6,4.3,0.0,6,5.0,3,8215,13047000
Hyderabad,Kukatpally,3,1646,3.0,12,10,1.0,2.0,21,Unfurnished,Independent House,3.5,0.2,5.0,6,6.0,7,8149,12640000
Bengaluru,Koramangala,3,1792,4.0,5,1,1.0,1.0,32,Fully-Furnished,Apartment,9.9,1.6,5.0,2,3.0,3,8288,17961000
Bengaluru,Electronic City,4,2081,3.0,7,7,1.0,3.0,23,Unfurnished,Independent House,3.8,5.2,5.0,5,8.0,2,9362,18740000
Ahmedabad,Bodakdev,3,1658,4.0,5,3,1.0,3.0,14,Fully-Furnished,Apartment,0.9,4.2,2.0,6,3.0,6,4198,12015000
Visakhapatnam,Dwaraka Nagar,5,2371,5.0,6,3,2.0,1.0,32,Semi-Furnished,Apartment,4.1,15.0,9.0,1,5.0,6,14096,13755000
Delhi,Mayur Vihar,5,2531,4.0,10,1,1.0,1.0,23,Fully-Furnished,Apartment,6.2,3.8,1.0,0,5.0,3,11918,26136000
Chennai,OMR,3,1520,3.0,5,1,3.0,2.0,24,Semi-Furnished,Independent House,9.4,1.6,7.0,1,4.0,10,3530,11800000
Kolkata,Dum Dum,3,1789,3.0,12,6,3.0,2.0,31,Semi-Furnished,Independent House,8.5,2.6,4.0,5,6.0,2,5116,11370000
Chennai,Porur,4,2403,5.0,3,1,1.0,1.0,28,Semi-Furnished,Villa,4.9,15.0,10.0,4,1.0,7,9606,18268000
Chennai,Anna Nagar,3,1998,3.0,12,9,1.0,2.0,19,Unfurnished,Apartment,6.8,1.9,8.0,1,8.0,2,8247,15578000
Kolkata,Dum Dum,1,878,1.0,15,1,2.0,1.0,7,Semi-Furnished,Villa,21.5,4.7,5.0,6,5.0,10,3289,6257000
Hyderabad,Gachibowli,5,2513,6.0,5,5,1.0,2.0,22,Fully-Furnished,Independent House,1.9,6.2,9.0,5,1.0,2,13009,19854000
Mumbai,Navi Mumbai,2,865,3.0,6,1,1.0,2.0,38,Fully-Furnished,Independent House,13.7,7.0,8.0,2,9.0,9,4332,14556000
Kolkata,Dum Dum,3,2003,4.0,12,11,2.0,1.0,38,Unfurnished,Apartment,5.0,1.5,0.0,7,9.0,4,4775,11583000
Ahmedabad,Chandkheda,3,1709,3.0,10,9,2.0,1.0,28,Semi-Furnished,Independent House,13.4,5.5,5.0,3,1.0,6,6380,11240000
Vijayawada,Poranki,2,1614,2.0,12,6,2.0,1.0,5,Unfurnished,Apartment,1.9,4.5,4.0,5,5.0,5,4065,8982000
Visakhapatnam,Madhurawada,3,1934,3.0,5,5,2.0,3.0,6,Fully-Furnished,Apartment,0.8,5.2,4.0,7,1.0,3,9922,12082000
Bengaluru,Koramangala,3,1665,3.0,8,2,2.0,0.0,8,Semi-Furnished,Apartment,4.2,3.0,5.0,2,9.0,1,4720,17975000
Delhi,Rohini,4,1971,3.0,5,5,1.0,2.0,12,Semi-Furnished,Independent House,3.9,1.0,7.0,6,6.0,8,9142,20224000
Chennai,Adyar,2,1359,2.0,3,2,0.0,1.0,30,Semi-Furnished,Apartment,7.3,4.0,3.0,6,10.0,10,8008,10668000
Visakhapatnam,MVP Colony,2,1404,2.0,8,8,1.0,3.0,32,Fully-Furnished,Villa,4.5,1.4,8.0,3,1.0,7,5346,9127000
Kolkata,Salt Lake,2,1007,1.0,15,10,2.0,2.0,25,Unfurnished,Independent House,9.2,6.6,1.0,5,4.0,8,2561,5047000
Vijayawada,Gunadala,5,2727,5.0,10,2,3.0,2.0,22,Fully-Furnished,Villa,12.9,3.5,5.0,6,2.0,5,15795,16150000
Visakhapatnam,MVP Colony,2,1343,2.0,10,5,1.0,1.0,10,Semi-Furnished,Apartment,1.2,1.0,4.0,7,9.0,10,6232,9854000
Ahmedabad,Maninagar,2,1443,3.0,4,3,1.0,1.0,6,Fully-Furnished,Apartment,7.1,4.6,0.0,1,1.0,1,4495,10432000
Hyderabad,Gachibowli,3,2046,2.0,5,1,2.0,0.0,23,Semi-Furnished,Villa,2.8,0.2,6.0,1,4.0,1,10759,14568000
Vijayawada,Patamata,3,1425,4.0,2,1,1.0,2.0,8,Semi-Furnished,Apartment,0.6,1.2,0.0,1,1.0,4,6176,7376000
Bengaluru,HSR Layout,2,1904,1.0,12,3,3.0,1.0,20,Semi-Furnished,Independent House,7.1,3.8,5.0,7,2.0,2,9847,17110000
Chennai,Porur,5,2797,5.0,3,1,2.0,0.0,5,Semi-Furnished,Apartment,14.5,1.8,7.0,2,3.0,6,7070,22336000
Delhi,Dwarka,3,1756,3.0,12,12,2.0,1.0,33,Semi-Furnished,Apartment,7.5,9.5,6.0,1,3.0,10,8397,15934000
Bengaluru,Whitefield,3,1972,3.0,6,6,1.0,2.0,22,Fully-Furnished,Apartment,6.7,7.3,5.0,3,3.0,6,5091,18480000
Delhi,Rohini,3,2029,3.0,10,8,1.0,1.0,21,Semi-Furnished,Independent House,4.9,1.9,9.0,3,3.0,7,7074,19815000
Mumbai,Bandra,2,1201,1.0,4,2,2.0,0.0,40,Unfurnished,Independent House,9.6,4.3,10.0,3,4.0,7,3110,16774000
Ahmedabad,Bodakdev,5,2812,5.0,2,1,1.0,2.0,26,Unfurnished,Apartment,2.7,5.0,9.0,0,1.0,8,6742,17767000
Chennai,Adyar,2,1579,2.0,3,2,2.0,2.0,0,Unfurnished,Apartment,3.5,9.0,5.0,1,3.0,4,8077,11970000
Vijayawada,Governorpet,3,1650,2.0,10,6,1.0,2.0,0,Unfurnished,Apartment,3.9,0.4,6.0,6,6.0,5,5692,9370000
Chennai,Porur,4,2347,3.0,15,10,3.0,2.0,40,Semi-Furnished,Apartment,7.5,5.1,2.0,0,2.0,6,5861,17947000
Delhi,Rohini,3,1477,3.0,15,13,1.0,3.0,31,Fully-Furnished,Independent House,6.4,4.0,5.0,5,1.0,8,3824,15536000
Vijayawada,Gunadala,4,2545,5.0,6,2,1.0,1.0,27,Semi-Furnished,Apartment,4.1,0.8,8.0,3,3.0,5,5675,14105000
Mumbai,Navi Mumbai,2,1176,3.0,15,13,0.0,0.0,31,Semi-Furnished,Independent House,9.8,,1.0,5,10.0,7,2955,18893000
Chennai,Anna Nagar,2,1285,2.0,5,2,2.0,0.0,13,Semi-Furnished,Independent House,20.7,6.8,8.0,6,5.0,3,3276,9474000
Mumbai,Navi Mumbai,4,2546,3.0,2,1,1.0,1.0,17,Semi-Furnished,Apartment,5.9,1.5,0.0,1,1.0,2,10944,40541000
Kolkata,Ballygunge,5,2210,5.0,10,9,3.0,2.0,14,Unfurnished,Independent House,3.8,2.8,1.0,1,10.0,3,10107,14738000
Mumbai,Bandra,3,1527,2.0,10,10,2.0,1.0,9,Unfurnished,Independent House,5.4,3.0,7.0,1,9.0,1,5695,23815000
Mumbai,Thane,4,2008,4.0,15,2,2.0,2.0,31,Unfurnished,Apartment,3.5,0.6,4.0,1,4.0,6,6491,30147000
Visakhapatnam,MVP Colony,3,1789,3.0,8,3,3.0,3.0,23,Semi-Furnished,Apartment,7.7,2.2,3.0,6,5.0,1,3997,10143000
Chennai,T Nagar,3,1817,3.0,12,8,2.0,2.0,32,Semi-Furnished,Apartment,7.8,8.6,4.0,3,2.0,8,6829,12910000
Delhi,Dwarka,2,1311,2.0,3,1,2.0,2.0,17,Semi-Furnished,Apartment,5.6,4.9,0.0,7,10.0,6,3965,13641000
Pune,Kharadi,1,772,2.0,4,4,1.0,0.0,36,Unfurnished,Apartment,10.5,3.8,8.0,0,6.0,3,2290,4805000
Visakhapatnam,Madhurawada,2,1369,2.0,6,2,2.0,2.0,15,Semi-Furnished,Independent House,3.1,3.1,3.0,1,5.0,2,3350,6622000
Kolkata,Rajarhat,4,2164,5.0,6,6,1.0,1.0,16,Unfurnished,Villa,0.7,4.6,4.0,1,6.0,4,9511,13168000
Bengaluru,Whitefield,4,2437,3.0,4,4,0.0,1.0,20,Semi-Furnished,Villa,4.3,2.4,8.0,7,8.0,10,12775,22839000
Delhi,Rohini,3,1751,2.0,4,3,1.0,1.0,26,Fully-Furnished,Apartment,6.6,9.5,4.0,2,1.0,10,9878,17301000
Ahmedabad,Prahlad Nagar,2,1294,3.0,7,6,0.0,1.0,9,Semi-Furnished,Independent House,6.4,3.6,6.0,3,6.0,10,5144,11112000
Delhi,Dwarka,2,1364,1.0,2,2,3.0,2.0,22,Semi-Furnished,Apartment,12.2,1.2,2.0,4,3.0,7,5971,11516000
Hyderabad,Banjara Hills,3,1784,3.0,4,1,1.0,0.0,21,Fully-Furnished,Independent House,2.0,3.2,0.0,7,5.0,2,7019,14050000
Visakhapatnam,Rushikonda,3,1515,4.0,6,3,3.0,3.0,37,Fully-Furnished,Villa,6.8,1.0,9.0,5,1.0,2,6271,8286000
Ahmedabad,Satellite,5,2544,4.0,4,4,1.0,2.0,17,Unfurnished,Apartment,3.7,10.7,3.0,7,2.0,8,7538,16025000
Chennai,Anna Nagar,3,1855,4.0,7,2,1.0,0.0,3,Fully-Furnished,Apartment,6.6,13.3,1.0,6,2.0,7,8318,14987000
Vijayawada,Governorpet,3,1785,4.0,10,9,2.0,2.0,29,Semi-Furnished,Villa,12.0,,6.0,1,7.0,7,5068,9770000
Hyderabad,Kukatpally,3,1620,3.0,8,6,2.0,1.0,13,Semi-Furnished,Independent House,13.9,6.1,3.0,5,10.0,3,3771,13182000
Delhi,Rohini,4,2313,4.0,6,5,1.0,1.0,31,Semi-Furnished,Apartment,6.0,8.2,6.0,7,6.0,10,5145,22294000
Ahmedabad,Satellite,3,2030,3.0,8,3,1.0,1.0,40,Unfurnished,Apartment,9.3,2.3,2.0,6,8.0,7,8786,10897000
Pune,Kharadi,3,1464,2.0,2,1,1.0,2.0,39,Fully-Furnished,Apartment,4.6,7.5,6.0,6,9.0,10,2968,12649000
Ahmedabad,Prahlad Nagar,2,1383,1.0,7,3,3.0,2.0,13,Semi-Furnished,Independent House,25.0,4.1,1.0,4,7.0,7,4465,9647000
